Artist,Album,Track,DateTime,Date,Time,Acousticness,Danceability,Energy,Tempo,Valence,Loudness,Instrumentalness,Speechiness
Yu-Peng Chen,Genshin Impact - City of Winds and Idylls (Original Game Soundtrack),Tender Strength,2-28-2023 17:34:00,2-28-2023,17:34:00,0.982,0.474,0.0596,72.65,0.135,-21.343,0.928,0.0357
Hara Noda,Lower East,Seven Falls,2-28-2023 17:30:00,2-28-2023,17:30:00,0.962,0.457,0.0624,84.937,0.132,-20.075,0.886,0.0394
Lullaby Legends,Video Game Lullabies Vol. 1,Animal Crossing New Horizons Shop Closing,2-28-2023 17:28:00,2-28-2023,17:28:00,0.957,0.63,0.213,100.016,0.505,-14.871,0.918,0.0554
Joe Hisaishi,Spirited Away Soundtrack,One Summer Day,2-28-2023 17:24:00,2-28-2023,17:24:00,0.953,0.41,0.196,78.823,0.0622,-15.956,0.892,0.0383
Hara Noda,Lower East,Seven Falls,2-28-2023 8:18:00,2-28-2023,8:18:00,0.962,0.457,0.0624,84.937,0.132,-20.075,0.886,0.0394
Clairo,Sling,Joanie,2-28-2023 8:13:00,2-28-2023,8:13:00,0.957,0.416,0.074,121.24,0.0476,-20.01,0.899,0.0407
Yu-Peng Chen,Genshin Impact - City of Winds and Idylls (Original Game Soundtrack),Tender Strength,2-28-2023 8:12:00,2-28-2023,8:12:00,0.982,0.474,0.0596,72.65,0.135,-21.343,0.928,0.0357
Lyn,PERSONA5 ORIGINAL SOUNDTRACK,Tokyo Daylight,2-28-2023 8:09:00,2-28-2023,8:09:00,0.0518,0.626,0.93,128.006,0.966,-9.527,0.716,0.0343
daigoro789,Animal Crossing: New Horizons Hourly Themes & BGM Piano Collections,Nooks Cranny (Before Closing) [From Animal Crossing: New Horizons] [For Piano Solo],2-28-2023 8:08:00,2-28-2023,8:08:00,0.995,0.452,0.0193,118.406,0.135,-32.622,0.869,0.0675
Men I Trust,Oncle Jazz,Something in Water,2-28-2023 8:05:00,2-28-2023,8:05:00,0.906,0.627,0.198,139.884,0.213,-16.84,0.715,0.0422
Luna Li,jams EP,cloud castle,2-28-2023 8:04:00,2-28-2023,8:04:00,0.04,0.556,0.563,83.9,0.349,-6.731,0.9,0.0523
Joe Hisaishi,Howls Moving Castle Soundtrack,Youre In Love,2-28-2023 8:03:00,2-28-2023,8:03:00,0.996,0.526,0.0344,67.101,0.208,-27.855,0.924,0.11
Lullaby Legends,Video Game Lullabies Vol. 1,Animal Crossing New Horizons Shop Closing,2-28-2023 8:01:00,2-28-2023,8:01:00,0.957,0.63,0.213,100.016,0.505,-14.871,0.918,0.0554
